0	785.0 KB 	 54202	2 ms	168.1 KB 	 1491
1	787.3 KB 	 53590	2 ms	177.3 KB 	 1571
2	785.4 KB 	 53208	23 ms	164.8 KB 	 1439
3	783.0 KB 	 54048	10 ms	167.8 KB 	 1489
4	807.3 KB 	 55529	2 ms	180.2 KB 	 1628
5	793.6 KB 	 53684	2 ms	169.0 KB 	 1502
6	791.2 KB 	 54767	3 ms	172.6 KB 	 1567
7	796.4 KB 	 53855	31 ms	178.3 KB 	 1618
8	800.4 KB 	 54772	28 ms	184.3 KB 	 1693
9	795.4 KB 	 54139	43 ms	179.0 KB 	 1607
10	788.3 KB 	 53880	4 ms	168.7 KB 	 1504
11	802.5 KB 	 55406	24 ms	175.6 KB 	 1593
12	808.6 KB 	 56345	38 ms	183.9 KB 	 1685
13	791.0 KB 	 53786	23 ms	171.5 KB 	 1525
14	786.6 KB 	 54023	17 ms	171.9 KB 	 1559
15	786.1 KB 	 53281	24 ms	169.0 KB 	 1509
16	790.5 KB 	 54058	14 ms	171.1 KB 	 1520
17	800.1 KB 	 54773	34 ms	184.2 KB 	 1697
18	797.6 KB 	 54064	2 ms	174.7 KB 	 1550
19	789.2 KB 	 54186	3 ms	171.1 KB 	 1510
20	815.2 KB 	 56423	4 ms	194.4 KB 	 1834
21	789.2 KB 	 54645	3 ms	161.9 KB 	 1435
22	791.9 KB 	 53672	3 ms	178.7 KB 	 1612
23	788.4 KB 	 53296	6 ms	170.7 KB 	 1533
24	787.0 KB 	 53183	7 ms	168.6 KB 	 1506
25	792.8 KB 	 53280	2 ms	167.9 KB 	 1483
26	794.1 KB 	 54307	2 ms	176.5 KB 	 1583
27	807.1 KB 	 55578	38 ms	177.5 KB 	 1607
28	800.3 KB 	 54353	26 ms	175.3 KB 	 1586
29	802.5 KB 	 54685	2 ms	175.0 KB 	 1571
30	781.9 KB 	 53105	2 ms	174.5 KB 	 1576
31	781.7 KB 	 53923	2 ms	166.3 KB 	 1464
32	798.4 KB 	 53750	30 ms	177.8 KB 	 1626
33	792.1 KB 	 54448	20 ms	173.9 KB 	 1551
34	790.0 KB 	 55084	8 ms	165.1 KB 	 1445
35	789.0 KB 	 53488	6 ms	164.6 KB 	 1451
36	805.0 KB 	 56650	15 ms	186.9 KB 	 1734
37	798.0 KB 	 54925	14 ms	168.4 KB 	 1506
38	782.5 KB 	 53027	24 ms	166.4 KB 	 1470
39	790.5 KB 	 53671	5 ms	179.9 KB 	 1633
40	803.0 KB 	 54589	5 ms	181.5 KB 	 1653
41	802.8 KB 	 55638	13 ms	179.7 KB 	 1633
42	785.4 KB 	 53554	33 ms	171.4 KB 	 1528
43	790.8 KB 	 53600	18 ms	172.8 KB 	 1536
44	790.2 KB 	 53601	2 ms	172.9 KB 	 1557
45	797.9 KB 	 53944	3 ms	179.0 KB 	 1606
46	791.0 KB 	 53989	2 ms	168.6 KB 	 1497
47	792.6 KB 	 54955	3 ms	169.8 KB 	 1530
48	807.7 KB 	 55384	4 ms	184.7 KB 	 1701
49	800.5 KB 	 55283	7 ms	178.7 KB 	 1622
50	805.8 KB 	 55724	8 ms	176.3 KB 	 1595
51	795.4 KB 	 55366	2 ms	178.9 KB 	 1614
52	786.6 KB 	 53747	45 ms	167.8 KB 	 1477
53	793.0 KB 	 54230	10 ms	173.7 KB 	 1542
54	791.0 KB 	 55100	2 ms	171.3 KB 	 1527
55	788.9 KB 	 54441	3 ms	168.0 KB 	 1477
56	791.7 KB 	 53588	2 ms	175.7 KB 	 1585
57	793.4 KB 	 53876	43 ms	168.7 KB 	 1481
58	787.1 KB 	 54138	13 ms	164.0 KB 	 1438
59	790.4 KB 	 54820	28 ms	173.9 KB 	 1558
60	798.6 KB 	 55658	5 ms	169.1 KB 	 1464
61	793.0 KB 	 54315	16 ms	173.5 KB 	 1563
62	800.0 KB 	 55609	28 ms	168.1 KB 	 1488
63	780.7 KB 	 53120	31 ms	161.5 KB 	 1424
64	798.8 KB 	 53877	6 ms	181.1 KB 	 1654
65	798.2 KB 	 54876	5 ms	173.9 KB 	 1561
66	789.8 KB 	 53774	17 ms	168.5 KB 	 1495
67	791.2 KB 	 53945	45 ms	175.5 KB 	 1579
68	795.3 KB 	 54556	2 ms	162.1 KB 	 1414
69	785.7 KB 	 53444	2 ms	172.2 KB 	 1537
70	782.0 KB 	 54152	2 ms	166.9 KB 	 1466
71	793.2 KB 	 54351	3 ms	168.2 KB 	 1478
72	787.5 KB 	 53860	2 ms	178.9 KB 	 1626
73	785.7 KB 	 54047	4 ms	167.4 KB 	 1473
74	798.7 KB 	 53774	5 ms	185.9 KB 	 1703
75	786.1 KB 	 54465	2 ms	171.1 KB 	 1526
76	780.4 KB 	 53259	2 ms	163.3 KB 	 1429
77	789.3 KB 	 53629	45 ms	171.3 KB 	 1516
78	798.2 KB 	 54543	16 ms	180.8 KB 	 1638
79	792.6 KB 	 53922	2 ms	178.5 KB 	 1620
80	786.9 KB 	 54197	8 ms	169.6 KB 	 1523
81	796.7 KB 	 53760	3 ms	178.3 KB 	 1595
82	802.5 KB 	 54788	54 ms	174.0 KB 	 1570
83	784.2 KB 	 53790	36 ms	168.3 KB 	 1485
84	791.1 KB 	 53214	27 ms	174.3 KB 	 1556
85	790.9 KB 	 53412	12 ms	177.4 KB 	 1583
86	792.0 KB 	 54487	10 ms	180.1 KB 	 1635
87	783.6 KB 	 52758	39 ms	168.4 KB 	 1500
88	778.1 KB 	 53016	17 ms	168.8 KB 	 1513
89	793.8 KB 	 54340	5 ms	166.5 KB 	 1479
90	812.9 KB 	 56352	4 ms	190.9 KB 	 1773
91	796.4 KB 	 53749	78 ms	169.7 KB 	 1506
92	782.9 KB 	 53375	48 ms	166.6 KB 	 1480
93	795.3 KB 	 54544	3 ms	169.0 KB 	 1498
94	781.6 KB 	 53157	2 ms	171.5 KB 	 1534
95	783.0 KB 	 53608	2 ms	161.8 KB 	 1416
96	786.5 KB 	 54230	2 ms	169.1 KB 	 1509
97	803.0 KB 	 55188	8 ms	176.9 KB 	 1587
98	789.1 KB 	 54196	5 ms	178.0 KB 	 1619
99	802.3 KB 	 54311	13 ms	184.6 KB 	 1686
100	794.5 KB 	 54157	9 ms	174.3 KB 	 1567
101	800.3 KB 	 54304	3 ms	177.0 KB 	 1593
102	792.3 KB 	 57738	2 ms	173.8 KB 	 1560
103	796.1 KB 	 54615	2 ms	179.1 KB 	 1616
104	816.6 KB 	 55751	2 ms	190.5 KB 	 1765
105	796.5 KB 	 54484	2 ms	181.4 KB 	 1656
106	791.7 KB 	 54306	2 ms	164.8 KB 	 1448
107	795.2 KB 	 54310	42 ms	173.0 KB 	 1541
108	788.4 KB 	 53300	2 ms	166.2 KB 	 1453
109	790.4 KB 	 54447	2 ms	176.9 KB 	 1580
110	787.5 KB 	 53759	2 ms	163.8 KB 	 1423
111	788.7 KB 	 53471	2 ms	175.8 KB 	 1584
112	802.4 KB 	 54889	3 ms	187.1 KB 	 1693
113	783.9 KB 	 52791	2 ms	166.3 KB 	 1458
114	790.6 KB 	 54441	2 ms	168.1 KB 	 1473
115	790.9 KB 	 54140	23 ms	175.5 KB 	 1568
116	785.0 KB 	 53549	29 ms	168.8 KB 	 1501
117	790.4 KB 	 55183	55 ms	175.4 KB 	 1592
118	787.0 KB 	 53912	2 ms	171.7 KB 	 1533
119	772.9 KB 	 52853	2 ms	156.0 KB 	 1326
120	784.5 KB 	 53724	38 ms	166.8 KB 	 1467
121	795.7 KB 	 53947	16 ms	173.0 KB 	 1555
122	789.4 KB 	 54402	61 ms	175.7 KB 	 1581
123	783.7 KB 	 53084	32 ms	171.4 KB 	 1526
124	792.2 KB 	 53446	23 ms	174.5 KB 	 1574
125	795.4 KB 	 53925	41 ms	166.8 KB 	 1468
126	792.9 KB 	 53430	10 ms	174.5 KB 	 1562
127	777.3 KB 	 53119	50 ms	159.7 KB 	 1405
128	787.8 KB 	 53411	51 ms	163.3 KB 	 1442
129	809.4 KB 	 55601	37 ms	186.7 KB 	 1721
130	788.8 KB 	 54612	36 ms	169.6 KB 	 1507
131	793.2 KB 	 54230	3 ms	171.0 KB 	 1510
132	795.0 KB 	 53891	2 ms	169.5 KB 	 1516
133	789.4 KB 	 54828	71 ms	173.1 KB 	 1541
134	788.0 KB 	 53889	53 ms	166.6 KB 	 1481
135	806.1 KB 	 56305	2 ms	176.9 KB 	 1614
136	795.2 KB 	 54333	15 ms	181.7 KB 	 1652
137	783.2 KB 	 53089	49 ms	170.3 KB 	 1507
138	796.6 KB 	 54760	3 ms	171.5 KB 	 1521
139	788.6 KB 	 53278	2 ms	174.7 KB 	 1567
140	804.8 KB 	 56105	26 ms	178.7 KB 	 1622
141	786.3 KB 	 52967	51 ms	173.2 KB 	 1549
142	784.4 KB 	 53910	37 ms	165.0 KB 	 1458
143	793.3 KB 	 53273	64 ms	173.7 KB 	 1548
144	791.3 KB 	 54753	20 ms	178.4 KB 	 1605
145	791.1 KB 	 54901	2 ms	167.7 KB 	 1495
146	796.2 KB 	 54080	3 ms	172.3 KB 	 1532
147	784.6 KB 	 53279	35 ms	171.5 KB 	 1526
148	803.8 KB 	 54279	2 ms	179.6 KB 	 1638
149	788.1 KB 	 52890	2 ms	170.1 KB 	 1522
150	806.3 KB 	 54146	3 ms	183.4 KB 	 1685
151	793.9 KB 	 54786	4 ms	171.3 KB 	 1526
152	795.3 KB 	 53598	2 ms	174.5 KB 	 1564
153	774.6 KB 	 52885	3 ms	162.3 KB 	 1434
154	797.0 KB 	 54402	3 ms	170.7 KB 	 1511
155	801.0 KB 	 53905	11 ms	174.7 KB 	 1565
156	791.9 KB 	 54832	35 ms	171.5 KB 	 1530
157	794.5 KB 	 53929	2 ms	178.3 KB 	 1604
