0	0.0 B 	 0		0.0 B 	 0
1	378.4 KB 	 497	7 ms	791.7 KB 	 127186
2	155.0 KB 	 202	44 ms	654.7 KB 	 114840
3	505.0 KB 	 384		0.0 B 	 0
4	115.2 KB 	 153	10 ms	206.8 KB 	 31934
5	797.1 KB 	 848	17 ms	1419.0 KB 	 235598
6	181.6 KB 	 150	30 ms	325.5 KB 	 50622
7	1398.7 KB 	 1305	14 ms	4.0 MB 	 718842
8	0.0 B 	 0		0.0 B 	 0
9	1117.0 KB 	 1183		0.0 B 	 0
10	1451.9 KB 	 1427	81 ms	1210.8 KB 	 207207
11	109.2 KB 	 120	8 ms	201.1 KB 	 30657
12	130.6 KB 	 132		0.0 B 	 0
13	1343.6 KB 	 1389	12 ms	3.1 MB 	 507948
14	0.0 B 	 0		0.0 B 	 0
15	0.0 B 	 0		0.0 B 	 0
16	1155.4 KB 	 1244	12 ms	3.7 MB 	 647187
17	0.0 B 	 0		0.0 B 	 0
18	249.2 KB 	 231	3 ms	488.4 KB 	 79780
19	616.3 KB 	 639	10 ms	1116.6 KB 	 190573
20	851.8 KB 	 881	9 ms	2.3 MB 	 431794
21	71.0 KB 	 80	2 ms	137.1 KB 	 19558
22	0.0 B 	 0		0.0 B 	 0
23	383.7 KB 	 339		0.0 B 	 0
24	251.7 KB 	 329		0.0 B 	 0
25	791.8 KB 	 893	9 ms	2.2 MB 	 395997
26	0.0 B 	 0		0.0 B 	 0
27	593.8 KB 	 643	32 ms	2.1 MB 	 398261
28	1292.0 B 	 12		219.0 B 	 12
29	272.9 KB 	 248		0.0 B 	 0
30	830.3 KB 	 906	8 ms	1723.9 KB 	 305221
31	100.2 KB 	 155	6 ms	259.2 KB 	 45087
32	281.4 KB 	 284	6 ms	601.8 KB 	 105126
33	593.0 KB 	 545	6 ms	846.3 KB 	 148214
34	1051.0 KB 	 1240	26 ms	3.4 MB 	 585354
35	274.4 KB 	 255	42 ms	482.0 KB 	 77286
36	0.0 B 	 0		0.0 B 	 0
37	0.0 B 	 0		0.0 B 	 0
38	971.0 B 	 9		196.0 B 	 9
39	216.3 KB 	 228	12 ms	696.5 KB 	 123970
40	2.3 MB 	 2292		0.0 B 	 0
41	810.6 KB 	 780	3 ms	445.9 KB 	 68577
42	0.0 B 	 0		0.0 B 	 0
43	234.8 KB 	 271	4 ms	881.7 KB 	 163701
44	0.0 B 	 0		0.0 B 	 0
45	0.0 B 	 0		0.0 B 	 0
46	1288.0 B 	 12		218.0 B 	 12
47	139.6 KB 	 154	19 ms	302.0 KB 	 49196
48	0.0 B 	 0		0.0 B 	 0
49	2.1 KB 	 20		328.0 B 	 20
50	0.0 B 	 0		0.0 B 	 0
51	350.2 KB 	 433	6 ms	865.4 KB 	 143479
52	2.1 MB 	 2250	22 ms	8.6 MB 	 1449105
53	0.0 B 	 0		0.0 B 	 0
54	0.0 B 	 0		0.0 B 	 0
55	241.5 KB 	 305	3 ms	478.4 KB 	 74016
56	0.0 B 	 0		0.0 B 	 0
57	285.8 KB 	 362		0.0 B 	 0
